point_index,timestamp_utc,status,setpoints_json,measurements_json,trace_name,trace_points,trace_peak_dbm
46,2026-09-03T07:58:50.977926+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 13992929.2929, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.998561
47,2026-09-03T07:58:51.093542+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 14294949.4949, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.968181
48,2026-09-03T07:58:51.249845+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 14596969.697, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.943529
49,2026-09-03T07:58:51.354849+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 14898989.899, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.926823
50,2026-09-03T07:58:51.574770+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 15201010.101, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.937189000000004
51,2026-09-03T07:58:51.742656+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 15503030.303, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.93935400000001
52,2026-09-03T07:58:51.924005+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 15805050.5051, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.921421
53,2026-09-03T07:58:52.094054+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 16107070.7071, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.925881
54,2026-09-03T07:58:52.198667+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 16409090.9091, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.88397500000001
55,2026-09-03T07:58:52.371594+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 16711111.1111, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.897284
56,2026-09-03T07:58:52.499924+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 17013131.3131, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.91173
57,2026-09-03T07:58:52.691209+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 17315151.5152, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.880391
58,2026-09-03T07:58:52.843862+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 17617171.7172, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.894543
59,2026-09-03T07:58:53.064073+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 17919191.9192, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.87237400000001
